start,end
1553155800.0,1553242200.0
1553155800.0,1553242200.0
1553152500.0,1553462100.0
1553151600.0,1553187600.0
1553070900.0,1553099700.0
1553061600.0,1553086800.0
1553018100.0,1553032500.0
1552975500.0,1553061900.0
1552906800.0,1552932000.0
1552897200.0,1552918800.0
1552894200.0,1552930200.0
1552894500.0,1552930500.0
1552725600.0,1552743600.0
1552721700.0,1552732500.0
1553796900.0,1553800500.0
1553764800.0,1553782800.0
1553753700.0,1553840100.0
1553758200.0,1553772600.0
1553716200.0,1553723400.0
1553669400.0,1553755800.0
1553617200.0,1553638800.0
1553600100.0,1553625300.0
1553587500.0,1553619900.0
1553583600.0,1553670000.0
1553580000.0,1553605200.0
1553534400.0,1553552400.0
1553514000.0,1553535600.0
1553499300.0,1553535300.0
1553527800.0,1553553000.0
1553497200.0,1553533200.0
1553464800.0,1553878800.0
1553261400.0,1553268600.0
1553245200.0,1553263200.0
1556775900.0,1556862300.0
1556639700.0,1556643300.0
1556610900.0,1556639700.0
1556607600.0,1556629200.0
1556525400.0,1556532600.0
1556456400.0,1556470800.0
1556432100.0,1556518500.0
1556358900.0,1556369700.0
1556184300.0,1556213100.0
1556114100.0,1556139300.0
1552469400.0,1552501800.0
1552456800.0,1552482000.0
1552410300.0,1552435500.0
1552398600.0,1552405800.0
1552389900.0,1552407900.0
1552384800.0,1552410000.0
1552372800.0,1552459200.0
1552369500.0,1552455900.0
1552296900.0,1552505700.0
1552289700.0,1552325700.0
1552229400.0,1552258200.0
1552028400.0,1552064400.0
1551958200.0,1551969000.0
1555754400.0,1555768800.0
1555493400.0,1555515000.0
1555487100.0,1555519500.0
1555485900.0,1555539900.0
1555316100.0,1555344900.0
1555313700.0,1555349700.0
1555177200.0,1555180800.0
1555135800.0,1555153800.0
1554446400.0,1554532800.0
1554382800.0,1554404400.0
1554356400.0,1554442800.0
1554281100.0,1554309900.0
1554187200.0,1554273600.0
1554104400.0,1554140400.0
1553968500.0,1553982900.0
1553929200.0,1554015600.0
1554883200.0,1554919200.0
1554795300.0,1554831300.0
1554703200.0,1554728400.0
1554706200.0,1554738600.0
1554486000.0,1554489600.0
1554487200.0,1554501600.0
1554453000.0,1554471000.0
1552114800.0,1552168800.0
1551872400.0,1551904800.0
1551866400.0,1551888000.0
1551772800.0,1551805200.0
1551772200.0,1551808200.0
1551686400.0,1551718800.0
1551565200.0,1551568800.0
1551565200.0,1551568800.0
1551532500.0,1551546900.0
1551420000.0,1551441600.0
1551421800.0,1551450600.0
1551339300.0,1551425700.0
1569220200.0,1569241800.0
1569065700.0,1569090900.0
1568966100.0,1569052500.0
1568963700.0,1569050100.0
1568964600.0,1569004200.0
1568892300.0,1568921100.0
1568822400.0,1568826000.0
1568796900.0,1568832900.0
1568718900.0,1568729700.0
1568716200.0,1568730600.0
1566899100.0,1566931500.0
1566894600.0,1566923400.0
1566805800.0,1566834600.0
1566802800.0,1566889200.0
1566568200.0,1566579000.0
1566555900.0,1566563100.0
1566485700.0,1566496500.0
1566459000.0,1566477000.0
1566455400.0,1566541800.0
1566455100.0,1566473100.0
1566460800.0,1566478800.0
1567493400.0,1567579800.0
1567497000.0,1567515000.0
1567497600.0,1567512000.0
1567443600.0,1567450800.0
1567431300.0,1567442100.0
1567407000.0,1567493400.0
1567245000.0,1567331400.0
1567263600.0,1567296000.0
1567239300.0,1567325700.0
1567144800.0,1567231200.0
1567096200.0,1567121400.0
1567063200.0,1567081200.0
1567063800.0,1567081800.0
1570809000.0,1570834200.0
1570789200.0,1570825200.0
1570779000.0,1570818600.0
1570776600.0,1570827000.0
1570714500.0,1570728900.0
1570611600.0,1570640400.0
1570607100.0,1570693500.0
1570602600.0,1570689000.0
1570600800.0,1570626000.0
1570433400.0,1570519800.0
1570430100.0,1570516500.0
1570428000.0,1570453200.0
1570430700.0,1570463100.0
1569823200.0,1569848400.0
1569611100.0,1569625500.0
1569566700.0,1569653100.0
1569510000.0,1569513600.0
1569481500.0,1569495900.0
1569433500.0,1569444300.0
1569396900.0,1569483300.0
1569407400.0,1569436200.0
1569348900.0,1569352500.0
1569398400.0,1569434400.0
1569312000.0,1569340800.0
1568105100.0,1568141100.0
1570285800.0,1570296600.0
1570270200.0,1570291800.0
1570269600.0,1570298400.0
1567847100.0,1567850700.0
1567846800.0,1567868400.0
1567839300.0,1567875300.0
1570123200.0,1570141200.0
1567762200.0,1567776600.0
1570084500.0,1570116900.0
1570084200.0,1570170600.0
1567753500.0,1567793100.0
1567684500.0,1567698900.0
1570316400.0,1570921200.0
1567666200.0,1567752600.0
1567590300.0,1567619100.0
1567585200.0,1567628400.0
1569923700.0,1569930900.0
1567583100.0,1567633500.0
1568709000.0,1568723400.0
1569857400.0,1569864600.0
1568660400.0,1568671200.0
1569837000.0,1569840600.0
1569831600.0,1569849600.0
1568616900.0,1568645700.0
1567494300.0,1567526700.0
1568445300.0,1568531700.0
1568368800.0,1568379600.0
1567410000.0,1567496400.0
1568354400.0,1568379600.0
1567409400.0,1567445400.0
