start,end
1584015000.0,1584025800.0
1584000000.0,1584036000.0
1584000900.0,1584018900.0
1583927700.0,1583938500.0
1583909100.0,1583995500.0
1583824800.0,1583911200.0
1583765100.0,1583786700.0
1583743200.0,1583775600.0
1580106900.0,1580279700.0
1580038500.0,1580060100.0
1579945500.0,1579963500.0
1579892100.0,1579895700.0
1579697400.0,1579711800.0
1579684800.0,1579688400.0
1579689600.0,1579693200.0
1579606200.0,1579635000.0
1592373900.0,1592460300.0
1592375400.0,1592415000.0
1592298000.0,1592308800.0
1592229600.0,1592233200.0
1592218800.0,1592229600.0
1592204100.0,1592229300.0
1592043300.0,1592068500.0
1601984700.0,1602006300.0
1601975700.0,1601990100.0
1601970900.0,1601999700.0
1601888700.0,1601903100.0
1601813400.0,1601827800.0
1601743500.0,1601754300.0
1601657100.0,1601743500.0
1601652600.0,1601908200.0
1601466000.0,1601480400.0
1603264200.0,1603300200.0
1603180800.0,1603202400.0
1603179900.0,1603266300.0
1603175400.0,1603261800.0
1603147800.0,1603180200.0
1603105500.0,1603123500.0
1603082400.0,1603143600.0
1603016100.0,1603034100.0
1602831600.0,1602860400.0
1602799200.0,1602802800.0
1602783900.0,1602967500.0
1602739200.0,1602825600.0
1587969600.0,1587994800.0
1587968100.0,1588004100.0
1602659400.0,1602745800.0
1587624300.0,1587653100.0
1580970300.0,1581002700.0
1578991200.0,1579077600.0
1578991200.0,1579023600.0
1578990900.0,1579113300.0
1579075200.0,1579111200.0
1580885100.0,1580917500.0
1586356800.0,1586374800.0
1578898800.0,1578931200.0
1585725000.0,1585746600.0
1578675900.0,1578686700.0
1578657600.0,1578679200.0
1585551300.0,1585580100.0
1585548900.0,1585581300.0
1585299000.0,1585320600.0
1578639600.0,1578726000.0
1578638700.0,1578721500.0
1585206000.0,1585245600.0
1585137600.0,1585155600.0
1579092600.0,1579114200.0
1579077900.0,1579110300.0
1579072500.0,1579115700.0
1583128800.0,1583157600.0
1583066700.0,1583088300.0
1582976400.0,1583019600.0
1582912500.0,1582916100.0
1584429000.0,1584515400.0
1582880400.0,1582902000.0
1582879200.0,1582965600.0
1582876800.0,1582898400.0
1587627000.0,1587663000.0
1582828200.0,1582831800.0
1587624900.0,1587642900.0
1584341700.0,1584363300.0
1584339300.0,1584375300.0
