start,end
1611619200.0,1643155200.0
1610928000.0,1613606400.0
1610150400.0,1612828800.0
1609977600.0,1612656000.0
1609891200.0,1612569600.0
1609718400.0,1612396800.0
1609632000.0,1612310400.0
1612742400.0,1615161600.0
1609891200.0,1612569600.0
1609891200.0,1641427200.0
1609459200.0,1640995200.0
1613433600.0,1615852800.0
1612915200.0,1615334400.0
1610323200.0,1613001600.0
1610755200.0,1613433600.0
1613606400.0,1616025600.0
1612742400.0,1615161600.0
1613347200.0,1615766400.0
1612396800.0,1612501200.0
1611532800.0,1614211200.0
1610409600.0,1613088000.0
1609718400.0,1612396800.0
1613088000.0,1615507200.0
1613088000.0,1615507200.0
1612828800.0,1615248000.0
1613433600.0,1615852800.0
1610582400.0,1613260800.0
1609718400.0,1612396800.0
1611619200.0,1643155200.0
1613520000.0,1615939200.0
1612915200.0,1615334400.0
1613001600.0,1615420800.0
1612828800.0,1615248000.0
1614556800.0,1617235200.0
1612915200.0,1613192400.0
1612915200.0,1644451200.0
1612828800.0,1615248000.0
