start,end
1580342400.0,1583020800.0
1581292800.0,1612915200.0
1581292800.0,1583798400.0
1581638400.0,1584144000.0
1598400000.0,1629936000.0
1583798400.0,1586476800.0
1589155200.0,1591833600.0
1594684800.0,1597363200.0
1597881600.0,1597968000.0
1601510400.0,1633046400.0
1594598400.0,1597276800.0
1606953600.0,1609632000.0
1606953600.0,1609632000.0
1606953600.0,1609632000.0
1606176000.0,1608768000.0
1605571200.0,1608163200.0
1605225600.0,1636761600.0
1604620800.0,1607212800.0
1604448000.0,1604552400.0
1604361600.0,1606953600.0
1593648000.0,1596326400.0
1588291200.0,1590969600.0
1595030400.0,1597708800.0
1599091200.0,1599177600.0
1578268800.0,1609891200.0
1578096000.0,1580774400.0
1578268800.0,1580947200.0
1590969600.0,1593561600.0
1611619200.0,1643155200.0
1610928000.0,1613606400.0
1596067200.0,1598745600.0
1595462400.0,1598140800.0
1599091200.0,1601683200.0
1608768000.0,1608872400.0
1608854400.0,1611532800.0
1597363200.0,1628899200.0
1578960000.0,1581638400.0
1578873600.0,1581552000.0
1580947200.0,1583452800.0
1580688000.0,1583193600.0
1581811200.0,1584316800.0
1600387200.0,1602979200.0
1594166400.0,1596844800.0
1584316800.0,1586995200.0
1585094400.0,1587772800.0
1588550400.0,1591228800.0
1597708800.0,1600387200.0
1604361600.0,1606953600.0
1604188800.0,1635724800.0
1603497600.0,1606176000.0
1589241600.0,1589328000.0
1598313600.0,1598400000.0
1602892800.0,1602997200.0
1602633600.0,1605312000.0
1602806400.0,1602910800.0
1610150400.0,1612828800.0
1609977600.0,1612656000.0
1609891200.0,1612569600.0
1601510400.0,1604188800.0
1601510400.0,1604188800.0
1609718400.0,1612396800.0
1609632000.0,1612310400.0
1608768000.0,1611446400.0
1608508800.0,1608613200.0
1608076800.0,1610755200.0
1591660800.0,1591747200.0
1588204800.0,1590796800.0
1588723200.0,1591401600.0
1591142400.0,1593734400.0
1596758400.0,1599436800.0
1597276800.0,1599955200.0
1586217600.0,1588809600.0
1600041600.0,1602633600.0
1580860800.0,1612483200.0
1581120000.0,1583625600.0
1581552000.0,1584057600.0
1581897600.0,1584403200.0
1589241600.0,1620777600.0
1596758400.0,1628294400.0
1588809600.0,1591488000.0
1593216000.0,1593302400.0
1597622400.0,1600300800.0
1589760000.0,1592438400.0
1599609600.0,1599696000.0
1586822400.0,1589414400.0
1596412800.0,1599091200.0
1578355200.0,1581033600.0
1579478400.0,1582156800.0
1579046400.0,1610668800.0
1612742400.0,1615161600.0
1609891200.0,1612569600.0
1609891200.0,1641427200.0
1609459200.0,1640995200.0
1602633600.0,1605312000.0
1607472000.0,1610150400.0
1607299200.0,1607403600.0
1602028800.0,1604707200.0
1601942400.0,1604620800.0
1601683200.0,1604361600.0
1599696000.0,1602288000.0
1604966400.0,1607558400.0
1603929600.0,1606608000.0
1603670400.0,1606348800.0
1591574400.0,1594166400.0
1602892800.0,1634428800.0
1599177600.0,1599264000.0
1593129600.0,1595721600.0
1601251200.0,1603843200.0
1601337600.0,1603929600.0
1583107200.0,1585785600.0
1592179200.0,1594771200.0
1599350400.0,1601942400.0
1586736000.0,1589328000.0
1593388800.0,1624924800.0
1597017600.0,1599696000.0
1587081600.0,1589673600.0
1577836800.0,1609459200.0
1578009600.0,1580688000.0
1578441600.0,1581120000.0
1599436800.0,1602028800.0
1596499200.0,1599177600.0
1590969600.0,1622505600.0
1583107200.0,1614643200.0
1583193600.0,1585872000.0
1583280000.0,1585958400.0
1582588800.0,1585094400.0
1605484800.0,1608076800.0
1604880000.0,1607472000.0
1613433600.0,1615852800.0
1612915200.0,1615334400.0
1610323200.0,1613001600.0
1610755200.0,1613433600.0
1606953600.0,1638489600.0
1606694400.0,1609286400.0
1605571200.0,1608163200.0
1605139200.0,1607731200.0
1613606400.0,1616025600.0
1612742400.0,1615161600.0
1613347200.0,1615766400.0
1612396800.0,1612501200.0
1608076800.0,1610755200.0
1607472000.0,1610150400.0
1579478400.0,1611100800.0
1580169600.0,1582848000.0
1580774400.0,1583280000.0
1586995200.0,1589587200.0
1589587200.0,1592265600.0
1583712000.0,1586390400.0
1600905600.0,1603497600.0
1589500800.0,1592179200.0
1590364800.0,1593043200.0
1586131200.0,1588723200.0
1598832000.0,1598918400.0
1599177600.0,1601769600.0
1598918400.0,1601510400.0
1599868800.0,1602460800.0
1593475200.0,1593561600.0
1579824000.0,1582502400.0
1579132800.0,1581811200.0
1607904000.0,1610582400.0
1606867200.0,1606971600.0
1581465600.0,1583971200.0
1582675200.0,1585180800.0
1581984000.0,1584489600.0
1606694400.0,1609286400.0
1583971200.0,1586649600.0
1600300800.0,1602892800.0
1604620800.0,1607212800.0
1605139200.0,1636675200.0
1594080000.0,1596758400.0
1597708800.0,1597881600.0
1600905600.0,1632441600.0
1582848000.0,1585353600.0
1584057600.0,1586736000.0
1598832000.0,1601510400.0
