UNIX time,value,sumcheck
1609458461,1,1
1609458463,1,2
1609458463,1,3
1609458464,1,4
1609458469,1,5
1609458472,1,6
1609460947,1,7
1609461163,-1,6
1609476715,-1,5
1609476716,-1,4
1609476718,-1,3
1609476719,-1,2
1609476721,-1,1
1609476731,-1,0
1609478232,1,1
1609479889,1,2
1609480158,-1,1
1609480569,1,2
1609483384,1,3
1609483413,1,4
1609483416,1,5
1609483416,1,6
1609483417,1,7
1609483496,1,8
1609483777,-1,7
1609483782,-1,6
1609483794,-1,5
1609483796,-1,4
1609483800,-1,3
1609484232,1,4
1609484475,1,5
1609484680,1,6
1609490701,1,7
1609490702,1,8
1609490703,1,9
1609490985,-1,8
1609491007,-1,7
1609491012,-1,6
1609494993,-1,5
1609496559,-1,4
1609497862,1,5
1609497865,1,6
1609497866,1,7
1609497868,1,8
1609497869,1,9
1609498153,-1,8
1609498176,-1,7
1609498177,-1,6
1609498178,-1,5
1609498179,-1,4
1609502214,1,5
1609504975,1,6
1609505360,-1,5
1609505995,1,6
1609506245,1,7
1609506260,1,8
1609506614,1,9
1609506778,-1,8
1609506831,-1,7
1609507522,1,8
1609508637,-1,7
1609512215,1,8
1609512218,1,9
1609512226,1,10
1609512560,-1,9
1609512561,-1,8
1609512579,-1,7
1609512664,-1,6
1609515575,-1,5
1609515596,-1,4
1609515767,1,5
1609516172,-1,4
1609516191,1,5
1609516620,-1,4
1609519416,-1,3
1609519441,1,4
1609519456,1,5
1609519564,-1,4
1609519781,1,5
1609519814,-1,4
1609519868,-1,3
1609523130,1,4
1609523133,1,5
1609523364,-1,4
1609523387,-1,3
1609525937,1,4
1609526624,1,5
1609526646,1,6
1609526960,-1,5
1609526960,-1,4
1609527265,1,5
1609528332,1,6
1609528496,-1,5
1609533782,1,6
1609533784,1,7
1609533787,1,8
1609534155,-1,7
1609534155,-1,6
1609534158,-1,5
1609534782,1,6
1609534854,-1,5
1609536825,-1,4
1609536938,-1,3
1609537435,1,4
1609537435,1,5
1609537559,-1,4
1609537775,-1,3
1609541017,1,4
1609541019,1,5
1609541025,1,6
1609541375,-1,5
1609541377,-1,4
1609541377,-1,3
1609545501,1,4
1609545503,1,5
1609545527,1,6
1609545997,-1,5
1609560236,1,6
1609563132,-1,5
1609563156,-1,4
1609564285,1,5
1609564288,1,6
1609564578,-1,5
1609564594,-1,4
1609566206,1,5
1609566555,-1,4
1609566783,1,5
1609569859,1,6
1609570155,-1,5
1609571176,1,6
1609573414,1,7
1609573417,1,8
1609573769,-1,7
1609573770,-1,6
1609575919,1,7
1609577191,1,8
1609578260,-1,7
1609580680,1,8
1609580681,1,9
1609580802,1,10
1609580980,-1,9
1609581010,-1,8
1609583906,1,9
1609584177,1,10
1609584211,1,11
1609584291,-1,10
1609584580,-1,9
1609587812,1,10
1609587819,1,11
1609588155,-1,10
1609588171,-1,9
1609590340,1,10
1609590439,1,11
1609590705,1,12
1609590893,-1,11
1609591260,-1,10
1609591443,1,11
1609591806,1,12
1609591836,1,13
1609592288,1,14
1609592308,1,15
1609592515,-1,14
1609592620,-1,13
1609592686,-1,12
1609592741,-1,11
1609593080,-1,10
1609594109,1,11
1609595005,1,12
1609595378,-1,11
1609597504,-1,10
1609598627,1,11
1609598975,-1,10
1609599651,-1,9
1609600112,-1,8
1609602143,1,9
1609602306,1,10
1609602609,-1,9
1609602724,-1,8
1609603380,1,9
1609603382,1,10
1609603384,1,11
1609603388,1,12
1609603389,1,13
1609603423,1,14
1609603563,-1,13
1609603571,-1,12
1609603572,-1,11
1609603577,-1,10
1609603578,-1,9
1609603590,-1,8
1609603999,-1,7
1609604973,1,8
1609605042,-1,7
1609610457,-1,6
1609610872,1,7
1609611022,-1,6
1609612030,-1,5
1609613056,1,6
1609613064,1,7
1609613400,-1,6
1609613419,-1,5
1609616451,-1,4
1609616690,1,5
1609616714,1,6
1609617033,-1,5
1609617045,-1,4
1609618249,-1,3
1609623831,1,4
1609623835,1,5
1609623835,1,6
1609623837,1,7
1609623837,1,8
1609623901,-1,7
1609623962,-1,6
1609624157,-1,5
1609624157,-1,4
1609624175,-1,3
1609627514,1,4
1609627515,1,5
1609627516,1,6
1609627813,-1,5
1609627814,-1,4
1609627818,-1,3
1609632048,1,4
1609632055,1,5
1609632060,1,6
1609632069,1,7
1609649480,-1,6
1609649496,-1,5
1609649496,-1,4
1609649500,-1,3
1609650666,1,4
1609650666,1,5
1609650669,1,6
1609651020,-1,5
1609651021,-1,4
1609651022,-1,3
1609652248,1,4
1609656206,1,5
1609656208,1,6
1609656209,1,7
1609656214,1,8
1609656218,1,9
1609656235,1,10
1609656238,1,11
1609656546,1,12
1609656559,-1,11
1609656561,-1,10
1609656563,-1,9
1609656582,-1,8
1609656584,-1,7
1609656587,-1,6
1609656588,-1,5
1609659813,1,6
1609659818,1,7
1609660169,-1,6
1609660179,-1,5
1609662284,1,6
1609663663,1,7
1609664218,1,8
1609664315,-1,7
1609664344,-1,6
1609666016,1,7
1609666302,1,8
1609667752,1,9
1609670010,-1,8
1609670586,1,9
1609670588,1,10
1609670589,1,11
1609670589,1,12
1609670591,1,13
1609670957,-1,12
1609670958,-1,11
1609670958,-1,10
1609670961,-1,9
1609670971,-1,8
1609671610,1,9
