start,end
1531413900.0,1531421100.0
1531407600.0,1531490400.0
1531375800.0,1531462200.0
1531377000.0,1531423800.0
1531231200.0,1531249200.0
1531209600.0,1531245600.0
1531206000.0,1531238400.0
1530859500.0,1530899100.0
1530683400.0,1530737400.0
1530691200.0,1530727200.0
1530631500.0,1530645900.0
1530600300.0,1530686700.0
1533319500.0,1533344700.0
1533276000.0,1533297600.0
1533029400.0,1533058200.0
1533016800.0,1533038400.0
1532625600.0,1532712000.0
1532587500.0,1532673900.0
1532517300.0,1532535300.0
1532329200.0,1532368800.0
1532258700.0,1532273100.0
1532066400.0,1532088000.0
1531980000.0,1532005200.0
1531818300.0,1531850700.0
1531807200.0,1531832400.0
1546268400.0,1546279200.0
1546180200.0,1546187400.0
1545572700.0,1545590700.0
1545432000.0,1545435600.0
1545409800.0,1545427800.0
1545381900.0,1545389100.0
1545291900.0,1545378300.0
1545284700.0,1545331500.0
1545164700.0,1545168300.0
1545154200.0,1545172200.0
1545117300.0,1545156900.0
1545119100.0,1545147900.0
1545033600.0,1545170400.0
1530601200.0,1530687600.0
1530524700.0,1530611100.0
1530349200.0,1530363600.0
1530302400.0,1530316800.0
1530171900.0,1530258300.0
1530128100.0,1530131700.0
1530106500.0,1530128100.0
1530082800.0,1530122400.0
1529821800.0,1529969400.0
1529670300.0,1529684700.0
1529657700.0,1529744100.0
1529596800.0,1529614800.0
1529586000.0,1529618400.0
1529600400.0,1529614800.0
1530005700.0,1530092100.0
1543474200.0,1543513800.0
1543394400.0,1543412400.0
1543336500.0,1543354500.0
1543307400.0,1543329000.0
1543305000.0,1543391400.0
1543253100.0,1543263900.0
1543070100.0,1543102500.0
1543056300.0,1543085100.0
1542960000.0,1542996000.0
1542959100.0,1542995100.0
1542958200.0,1542979800.0
1542882300.0,1542896700.0
1541315400.0,1541401800.0
1541173200.0,1541205600.0
1541171400.0,1541175000.0
1541142300.0,1541228700.0
1541061000.0,1541093400.0
1541052000.0,1541077200.0
1541059200.0,1541095200.0
1541002200.0,1541088600.0
1540987200.0,1541008800.0
1540914300.0,1541000700.0
1540905300.0,1540919700.0
1540888200.0,1540974600.0
1540886400.0,1540926000.0
1540884600.0,1540920600.0
1540833900.0,1540844700.0
1540797600.0,1540819200.0
1540796400.0,1540821600.0
1540792800.0,1540818000.0
1540560000.0,1540574400.0
1540479000.0,1540504200.0
1540485900.0,1540511100.0
1540454400.0,1540494000.0
1544182500.0,1544207700.0
1544162400.0,1544187600.0
1544075100.0,1544161500.0
1544020200.0,1544038200.0
1543995600.0,1544020800.0
1543989600.0,1544014800.0
1543931100.0,1543952700.0
1543908000.0,1543947600.0
1543821000.0,1543860600.0
1544882400.0,1544900400.0
1544770800.0,1544857200.0
1544685600.0,1544721600.0
1544621400.0,1544635800.0
1544512200.0,1544598600.0
1544509800.0,1544549400.0
1544454300.0,1544465100.0
1544421600.0,1544446800.0
1544423400.0,1544463000.0
1544287500.0,1544309100.0
1544266800.0,1544295600.0
1544264400.0,1544296800.0
1542043200.0,1542054000.0
1541870400.0,1541884800.0
1541865900.0,1541891100.0
1541767500.0,1541778300.0
1541748600.0,1541770200.0
1541742300.0,1541828700.0
1541697300.0,1541715300.0
1541662500.0,1541748900.0
1541660400.0,1541746800.0
1541656800.0,1541682000.0
1541592300.0,1541613900.0
1541578800.0,1541665200.0
1541514900.0,1541518500.0
1541499000.0,1541509800.0
1541487600.0,1541527200.0
1541435700.0,1541442900.0
1541401500.0,1541509500.0
1541399400.0,1541431800.0
1538556000.0,1538642400.0
1538479200.0,1538497200.0
1538460000.0,1538485200.0
1538387100.0,1538401500.0
1538206800.0,1538264400.0
1538126400.0,1538140800.0
1538049000.0,1538077800.0
1537858800.0,1537898400.0
1537855200.0,1537880400.0
1540449900.0,1540536300.0
1540385700.0,1540410900.0
1540383600.0,1540408800.0
1540316400.0,1540330800.0
1540191600.0,1540220400.0
1540052700.0,1540077900.0
1539962100.0,1539976500.0
1539954000.0,1539968400.0
1539854400.0,1539879600.0
1539849000.0,1539888600.0
1539844500.0,1539930900.0
1539766800.0,1539799200.0
1539756000.0,1539781200.0
1542002400.0,1542027600.0
1539705600.0,1539730800.0
1539604800.0,1539630000.0
1541743200.0,1541764800.0
1541690700.0,1541708700.0
1541688300.0,1541709900.0
1541679000.0,1541725800.0
1542705600.0,1542712800.0
1541659500.0,1541688300.0
1541663100.0,1541677500.0
