start,end
1581292800.0,1612915200.0
1598400000.0,1629936000.0
1601510400.0,1633046400.0
1606953600.0,1609632000.0
1606953600.0,1609632000.0
1606953600.0,1609632000.0
1605225600.0,1636761600.0
1578268800.0,1609891200.0
1611619200.0,1643155200.0
1610928000.0,1613606400.0
1608854400.0,1611532800.0
1597363200.0,1628899200.0
1604188800.0,1635724800.0
1610150400.0,1612828800.0
1609977600.0,1612656000.0
1609891200.0,1612569600.0
1609718400.0,1612396800.0
1609632000.0,1612310400.0
1608768000.0,1611446400.0
1608076800.0,1610755200.0
1580860800.0,1612483200.0
1589241600.0,1620777600.0
1596758400.0,1628294400.0
1579046400.0,1610668800.0
1612742400.0,1615161600.0
1609891200.0,1612569600.0
1609891200.0,1641427200.0
1609459200.0,1640995200.0
1607472000.0,1610150400.0
1602892800.0,1634428800.0
1593388800.0,1624924800.0
1577836800.0,1609459200.0
1590969600.0,1622505600.0
1583107200.0,1614643200.0
1613433600.0,1615852800.0
1612915200.0,1615334400.0
1610323200.0,1613001600.0
1610755200.0,1613433600.0
1606953600.0,1638489600.0
1613606400.0,1616025600.0
1612742400.0,1615161600.0
1613347200.0,1615766400.0
1612396800.0,1612501200.0
1608076800.0,1610755200.0
1607472000.0,1610150400.0
1579478400.0,1611100800.0
1607904000.0,1610582400.0
1605139200.0,1636675200.0
1600905600.0,1632441600.0
1611532800.0,1614211200.0
1610409600.0,1613088000.0
1609718400.0,1612396800.0
1597881600.0,1629417600.0
1613088000.0,1615507200.0
1613088000.0,1615507200.0
1612828800.0,1615248000.0
1607731200.0,1610409600.0
1613433600.0,1615852800.0
1608163200.0,1639699200.0
1599350400.0,1630886400.0
1600041600.0,1631577600.0
1586995200.0,1618531200.0
1588636800.0,1620172800.0
1589760000.0,1621296000.0
1610582400.0,1613260800.0
1609718400.0,1612396800.0
1611619200.0,1643155200.0
1613520000.0,1615939200.0
1612915200.0,1615334400.0
1613001600.0,1615420800.0
1612828800.0,1615248000.0
1614556800.0,1617235200.0
1612915200.0,1613192400.0
1612915200.0,1644451200.0
1612828800.0,1615248000.0
1607472000.0,1610150400.0
1607299200.0,1609977600.0
1606780800.0,1609459200.0
